eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,isWalking,roll,pitch,yaw,accX,accY,accZ,fitError,powerLeft
0,0,0,0,0,0,0,4.88,-13.52,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.88,-13.51,-323.109985,1,-1,-15,0,2
0,2,0,0,0,0,0,4.88,-13.51,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.87,-13.51,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.87,-13.51,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.86,-13.5,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.86,-13.5,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.86,-13.5,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.85,-13.5,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.85,-13.5,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.85,-13.49,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.85,-13.49,-323.100006,1,-1,-15,0,2
0,1,0,0,0,0,0,4.84,-13.49,-323.100006,1,-1,-15,0,2
1,0,0,0,0,0,0,4.84,-13.49,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.84,-13.49,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.84,-13.49,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.83,-13.48,-323.109985,1,-1,-15,0,2
0,2,0,0,0,0,0,4.83,-13.48,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.82,-13.48,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.82,-13.48,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.82,-13.47,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.82,-13.47,-323.109985,1,-1,-15,0,2
0,2,1,0,0,0,0,4.82,-13.46,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.82,-13.46,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.81,-13.46,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.81,-13.46,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.81,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.81,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.8,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.8,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.8,-13.46,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.79,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.79,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.79,-13.45,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.79,-13.45,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.79,-13.45,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,-36,62,0,4.78,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.45,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.45,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.78,-13.45,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.77,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.77,-13.44,-323.109985,1,-1,-15,0,2
1,0,0,0,0,0,0,4.77,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.44,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.75,-13.43,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.76,-13.43,-323.100006,1,-1,-15,0,2
0,0,0,1,0,0,0,4.75,-13.42,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.75,-13.42,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.42,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.75,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.42,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.75,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.4,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.74,-13.4,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.41,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.4,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.4,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.4,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.73,-13.4,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.72,-13.39,-323.109985,1,-1,-15,0,2
0,1,0,0,0,0,0,4.72,-13.39,-323.100006,1,-1,-15,0,2
1,0,0,0,0,0,0,4.72,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.72,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,1,0,0,0,4.72,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.72,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.39,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.71,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.37,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.38,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.7,-13.38,-323.100006,1,-1,-15,0,2
0,2,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,1,1,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.37,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,1,0,0,0,0,0,4.69,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.100006,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.100006,1,-1,-15,0,2
0,2,0,0,0,0,0,4.68,-13.36,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.36,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.35,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.35,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.68,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.67,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.67,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,1,0,0,0,4.67,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.67,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.36,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
1,0,1,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.35,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,1,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.66,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.35,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,1,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.65,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,1,0,0,0,4.64,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.34,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.140015,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,1,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.64,-13.32,-323.130005,1,-1,-15,0,2
0,1,0,0,0,0,0,4.63,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.33,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,1,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,2,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.63,-13.32,-323.119995,1,-1,-15,0,2
0,0,1,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,1,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
1,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-2,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
1,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,1,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,2,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
